Company,Area,University,,,,,,,,,,,,,,,,,Game,,,,AI,,
Blizzard Entertainment,"Irvine, CA",UC Irvine,University of Southern California,UCLA,"California State University, Fullerton",Full Sail University,UC San Diego,"California State University, Long Beach",Carnegie Mellon University,"University of California, Berkely","California State Polytechnic University, Pomona",,,,University,Count,,,University,Count,,,University,Count,
Activision Blizzard,"Santa Monica, California",University of Southern California,UCLA,UC Irvine,"University of California, Berkely","California State University, Long Beach","California State University, Northridge","California State University, Fullerton",The University of Texas at Austin,San Diego State University,"University of California, Riverside",,,,UCLA,10,State,,UCLA,8,State,,UCLA,2,State
Activision ,"Santa Monica, California",The University of British Columbia,UCLA,Simon Fraser University,University of Southern California,Full Sail University,"California State University, Northridge",UC Irvine,"California State University, Long Beach",University of Victoria,UC Santa Barbara,,,,UC Irvine,4,State,,UC Irvine,4,State,,UC Irvine,0,State
Electronic Arts (EA),"Redwood City, CA",The University of British Columbia,Simon Fraser University,British Columbia Institute of Technology,Vancouver Film School,University of Central Florida,University Polytechnic of Bucharest,University of Waterloo,University of Victoria,San Jose State University,University of Southern California,,,,University of Southern California,18,Private,,University of Southern California,10,Private,,University of Southern California,8,Private
Riot Games,"Los Angeles, CA",UCLA,University of Southern California,UC Irvine,"University of California, Berkely",UC San Diego,"California State University, Long Beach","California State University, Northridge",Carnegie Mellon University,"California State University, Fullerton",University of Washington,,,,San Jose State University,8,State,,San Jose State University,4,State,,San Jose State University,4,State
Naughty Dog,"Santa Monica, CA",University of Southern California,Full Sail University,UCLA,University of Central Florida,University of Central Florida,Carnegie Mellon University,New York University,Chapman University,,,,,,Stanford University,12,Private,,Stanford University,4,Private,,Stanford University,8,Private
Nintendo,"Redmond, Washington",University of Washington,Bellevue College,DigiPen Institute of Technology,Western Washington University,Washington State University,Central Washington University,Seattle University,,,,,,,University of Washington,6,State,,University of Washington,3,State,,University of Washington,3,State
Netflix,"Los Gatos, CA",University of Southern California,UCLA,"University of California, Berkely",New York University,Stanford University,"California State University, Northridge",San Jose State University,UC San Diego,The University of Texas at Austin,Columbia University,,,,"University of California, Berkely",14,State,,"University of California, Berkely",7,State,,"University of California, Berkely",7,State
Microsoft,"Redmond, Washington",University of Washington,Gergia Institute of Technology,Brila Institute of Technology and Science,"University of California, Berkely",Stanford University,Cornell University,Massachusetts Institute of Technology,,,,,,,The University of British Columbia,2,Canada,,The University of British Columbia,2,Canada,,The University of British Columbia,0,Canada
Roblox,"San Mateo, California","University of California, Berkely",Stanford University,University of Southern California,UC San Diego,San Jose State University,Carnegie Mellon University,Cornell University,University of Illinois Urbana-Champaign,UCLA,Gergia Institute of Technology,,,,University of Waterloo,3,Canada,,University of Waterloo,2,Canada,,University of Waterloo,1,Canada
Zynga,"San Francisco, California",University of Waterloo,"University of California, Berkely",University of Toronto,The University of Texas at Austin,The Art Institutes,San Jose State University,University of Southern California,San Francisco State University,Stanford University,Vellore Institute of Technology,,,,Full Sail University,3,Private,,Full Sail University,3,Private,,Full Sail University,0,Private
